Name,Age,Transaction_ID,Transaction_Time,Amount,Previous_Balance,Current_Balance,Transaction_Frequency_Weekly,Transaction_Type,Device_Type,Is_International,Device_Change,Fraud_Label
Samantha Fisher,73,f7b8810a-52a8-4504-bea6-827af2754084,2025-06-04 08:04:21,724.99,26088.11,25363.12,14,ATM Withdrawal,ATM,0,0,0
Bethany Lawrence,72,60fa5e87-1771-4357-b8e3-dc8a194f3bb5,2025-02-19 22:20:26,1390.4,46911.76,45521.36,19,Transfer,Mobile,0,0,0
Kimberly Ball,58,31d7eb3e-03fe-4d41-a6bb-654f82b45166,2025-01-29 02:34:40,2441.38,29590.77,27149.39,8,Bill Payment,Web,0,0,0
Carla Miranda,64,4837b7f9-f386-491e-8ffc-5c205470d9a6,2025-10-02 20:00:07,774.29,8737.32,7963.03,16,Bill Payment,ATM,0,1,1
Amber Ramirez,69,cedb0da8-db00-4445-bcdf-5a4298101497,2025-06-13 18:02:33,3551.95,19747.59,16195.64,15,Bill Payment,Web,1,0,1
Eric Cisneros,59,acf99460-b46a-4474-9973-bc957e9292e9,2025-10-19 05:46:31,212.81,13977.68,13764.87,4,Online Purchase,POS,1,1,1
Jason Wood,53,b9620a2f-5cf3-48d9-86b4-de23dc356da6,2025-02-01 20:15:13,2040.87,37866.93,35826.06,19,Online Purchase,POS,0,1,1
Jose Joyce,62,184f6569-2cea-453c-a51c-0985e8d971e2,2025-03-11 20:41:27,1093.87,29495.17,28401.3,5,Transfer,Mobile,0,0,0
Christian Owens,40,cf5c2d72-6f3b-4afd-829a-8866f633af29,2025-10-12 09:25:47,3414.12,8503.25,5089.13,4,ATM Withdrawal,Web,0,1,1
Stephanie Nielsen,73,8bec86b5-e383-4f6c-b076-a37bd8c73070,2025-07-16 19:24:57,2944.64,41607.88,38663.24,10,Bill Payment,POS,0,0,0
James Owens,50,1300d720-f81a-472c-a9bc-66931db5137d,2025-02-26 19:12:36,978.15,11451.27,10473.12,16,ATM Withdrawal,ATM,0,0,0
Raymond Sanford,60,ded7aff3-926e-4e7e-9934-91c2f646232d,2025-05-28 07:22:07,3387.66,39541.88,36154.22,9,Transfer,Mobile,0,0,0
Carol Lopez,64,65689f94-cb97-4d5f-a425-373a8de576bf,2025-02-23 13:32:05,417.99,12688.98,12270.99,7,ATM Withdrawal,ATM,0,0,0
Ashley Stone,55,5228078e-50e9-472b-8581-94a9bceab7bd,2025-02-13 07:09:38,204.96,13594.53,13389.57,6,Bill Payment,Mobile,0,1,1
Jessica Lewis,50,cee032e8-d659-41b9-aa2f-93135af8a81c,2025-03-10 07:03:01,2235.16,22986.38,20751.22,4,ATM Withdrawal,Web,1,0,1
Victor Walker,52,fe42e673-dcd1-401b-bd5c-7dd5794205d1,2025-01-22 17:38:26,430.66,30738.27,30307.61,16,Transfer,ATM,0,0,0
Jose Mcbride,66,07752e78-4289-4205-930c-9f824087f6c8,2025-01-19 03:30:59,3432.57,31179.16,27746.59,7,Transfer,Mobile,0,0,0
Gabriel Tran,29,294ae853-d4ed-45cf-9217-4bb1115482f1,2025-07-21 04:20:20,991.45,37863.62,36872.17,9,Online Purchase,Web,1,0,1
Corey Thomas,53,765351bb-eebf-4918-94eb-dd0493734f9b,2025-06-10 01:47:06,5587.24,41284.64,35697.4,8,Online Purchase,Web,0,0,0
Mary Johnson,73,22cb35d6-1f1a-4f68-a869-501acc8d031f,2025-02-08 00:08:15,1312.91,10306.11,8993.2,17,Online Purchase,POS,0,0,0
Stephanie Byrd,25,bcaca216-faaf-43e5-90e6-48b7331ade3b,2025-04-02 08:13:55,2768.34,10959.58,8191.24,19,Transfer,ATM,0,1,1
Emily Campos,29,30d46496-8501-4728-b690-b001fd3a1cfc,2025-08-15 17:49:36,1058.26,4755.72,3697.46,1,Transfer,Web,0,0,0
Garrett Stokes,74,ec25a6a2-7d55-4598-9182-e68460d2d83b,2025-06-28 21:02:03,2011.46,35786.56,33775.1,17,Bill Payment,POS,0,0,0
Christopher Miller,73,1ebf2cf3-e3d8-4cf9-ab05-8fdcca069876,2025-09-30 18:30:31,2829.29,33791.24,30961.95,17,Bill Payment,POS,0,1,1
Emily Stone,53,4555a57f-ebec-46d1-aa4f-9c2a4eeca94c,2025-01-23 22:22:02,1017.81,15391.83,14374.02,4,Transfer,POS,0,0,0
Michael Maldonado,73,60a2a195-692b-4e6a-b0c4-45550957e67b,2025-05-30 23:50:42,847.03,5978.19,5131.16,8,Transfer,Web,0,0,0
Caitlin Hall,68,487b942a-0d5a-4c12-9da9-20d7d9eae5b0,2025-09-09 13:52:50,2709.98,2975.2,265.22,16,Transfer,Web,0,1,1
Monica Moore,66,d2990e58-24f9-47be-bf89-f8c43c36a456,2025-03-08 14:41:20,7041.62,7248.2,206.58,6,ATM Withdrawal,Mobile,0,0,0
Steven Hamilton,38,a92cf894-bc3a-41a0-a1bb-7b1a4f28bbda,2025-10-17 02:54:31,2495.67,29031.19,26535.52,14,Online Purchase,ATM,0,1,1
Ariana Jordan,35,6aafd04f-182f-4b88-adad-b60d28e2bb89,2025-07-09 04:57:26,2507.57,2522.32,14.75,17,Bill Payment,POS,0,0,0
Michelle Montoya,39,deb9fc32-714d-4fc8-b2a1-6fb080aa1ac9,2025-06-06 14:29:54,1304.28,18396.83,17092.55,3,ATM Withdrawal,ATM,0,0,0
Jerry Smith,21,07ff46df-38c6-4774-a98c-1f392b0b9101,2025-05-03 08:28:02,85.87,13606.57,13520.7,10,Transfer,POS,0,0,0
Amanda Kelly,33,65df31e6-f154-48e5-8df1-27a6cfa44389,2025-04-30 16:20:24,337.53,43554.83,43217.3,8,Bill Payment,Web,0,0,0
Nathan Hogan,20,cd6e38d0-2d32-4c07-b054-194cb56dbde7,2025-09-17 07:17:10,2450.2,45844.52,43394.32,7,ATM Withdrawal,ATM,0,0,0
Linda Torres,33,57daa7d5-887a-475e-b5ab-20456255f2fb,2025-09-07 15:39:27,901.74,18675.41,17773.67,15,Transfer,Web,0,1,1
Eric Hill,60,6c19d475-0f2a-49fd-bf89-c3819fcd25aa,2025-01-18 20:37:25,39.48,42726.08,42686.6,15,Transfer,ATM,0,0,0
Zachary Rowland,27,647bac23-82b1-4d3f-b769-83432385faba,2025-05-12 02:58:05,1639.68,47747.42,46107.74,13,ATM Withdrawal,Mobile,0,0,0
Kelly York,20,21d34e1d-bf4f-4888-bf17-584a03c345c1,2025-04-30 05:20:44,2061.92,32368.75,30306.83,2,Online Purchase,ATM,0,0,0
Tony Elliott,39,05095062-911c-4dda-bc97-8d62926fadd6,2025-07-11 21:54:15,711.03,2735.9,2024.87,1,Bill Payment,ATM,0,0,0
John Hamilton,27,0f2462c8-1ef3-487e-a849-63627ae02574,2025-03-26 00:08:24,321.29,3707.14,3385.85,16,Bill Payment,POS,0,0,0
Lisa Ellis,30,8678da0a-b9bc-4b58-88b5-db537ff983e2,2025-02-04 19:41:55,205.3,6581.51,6376.21,17,Bill Payment,Web,0,0,0
Veronica Perez,63,36e5f93b-6122-4057-b873-266f478d1d11,2025-09-14 13:00:02,7023.55,24149.28,17125.73,2,ATM Withdrawal,Web,0,0,0
Jonathan Goodwin,53,5a6043dd-2eee-4482-80ee-da1776a2f86f,2025-07-08 09:20:30,1934.53,22871.16,20936.63,14,Transfer,POS,0,0,0
